id,rack_id,code,created_at
61ed20a5-6f92-4160-9973-c2f658f5393f,184c0699-b4e8-4842-b317-bfa051245786,C-06-02,2026-09-12 22:24:01.80036+00
50b9f5b4-2be7-436a-97e6-e430300359de,273608c3-8754-42b2-98a5-d774d08d0547,B-04-01,2026-09-12 22:24:01.80036+00
8e400df5-2911-4730-8a64-6ea217656308,273608c3-8754-42b2-98a5-d774d08d0547,B-04-02,2026-09-12 22:24:01.80036+00
4a31e7c2-cc5f-4502-abe1-538640347f77,273608c3-8754-42b2-98a5-d774d08d0547,B-04-03,2026-09-12 22:24:01.80036+00
6813cbcc-961d-4661-8dd1-1bc47233d0c4,6f84f368-73e9-4b3f-9244-bad5fd8f9b6f,A-01-03,2026-09-12 22:24:01.80036+00
879fd460-282b-45e8-b2e4-929ca51d07e3,6f84f368-73e9-4b3f-9244-bad5fd8f9b6f,A-01-04,2026-09-12 22:24:01.80036+00
feaf2d99-63c3-48d2-883b-e83c95e7dc4e,886a4ff0-45c3-49d6-b7c7-7470d54f93e6,A-03-01,2026-09-12 22:24:01.80036+00
8d8bb484-2861-4b80-abba-125e6e23fa1e,886a4ff0-45c3-49d6-b7c7-7470d54f93e6,A-03-02,2026-09-12 22:24:01.80036+00
bb08b999-9496-45c3-89a0-7ff7f008ab08,886a4ff0-45c3-49d6-b7c7-7470d54f93e6,A-03-03,2026-09-12 22:24:01.80036+00
985c1283-546e-4350-a766-0a17cce18b8b,886a4ff0-45c3-49d6-b7c7-7470d54f93e6,A-03-04,2026-09-12 22:24:01.80036+00
6233a5f0-6bfe-447b-976f-88fc7ef4c890,a322990c-6fad-4175-8398-5de9aab9f863,B-01-02,2026-09-12 22:24:01.80036+00
f6086514-5176-4872-8e9e-55330c90211f,ad1afda1-cc79-4304-93a2-a27c90649b72,A-06-02,2026-09-12 22:24:01.80036+00
c8f1eac8-548f-4161-b667-54bc175b3c33,d0763962-43f1-453d-98a4-e120857520f8,C-02-01,2026-09-12 22:24:01.80036+00
ab83d4da-0238-4996-aa4f-1ec24e2b3663,d0763962-43f1-453d-98a4-e120857520f8,C-02-02,2026-09-12 22:24:01.80036+00
6181f5cf-720e-4ff2-8b76-63f3eee5cff3,d0763962-43f1-453d-98a4-e120857520f8,C-02-03,2026-09-12 22:24:01.80036+00
ee40ccd8-7804-4da3-a8e7-058e8d11b224,e46db4df-20e9-4c00-80b3-4e55ec95a9fc,A-05-01,2026-09-12 22:24:01.80036+00
de9a309a-5607-4da7-a970-72cb26951ef6,e46db4df-20e9-4c00-80b3-4e55ec95a9fc,A-05-03,2026-09-12 22:24:01.80036+00
18ed9aca-e3f8-42ae-bf3a-41f9c5790217,e46db4df-20e9-4c00-80b3-4e55ec95a9fc,A-05-04,2026-09-12 22:24:01.80036+00
f104f437-92c1-4989-bdfc-4e001b0c09be,f089630f-861c-4e9c-bdb1-2d2f3af88a7d,B-02-01,2026-09-12 22:24:01.80036+00
4e2aef90-07ad-445a-828f-d3a6ba7a5de0,f089630f-861c-4e9c-bdb1-2d2f3af88a7d,B-02-04,2026-09-12 22:24:01.80036+00
43265ceb-1057-47ab-a9f8-a7ccef4f2e62,c68661bc-e792-4339-a82b-a222ac7b7e83,A-03-06,2026-09-14 17:37:25.193917+00
