id,item_id,warehouse_id,position_id,quantity,created_at,updated_at
20390db4-8374-4df3-93fd-eed7b97cac8b,1d40ad8e-3e73-4b40-812d-f7d773de83f1,0d049737-fa74-4139-ac01-31a8bbf447e3,61ed20a5-6f92-4160-9973-c2f658f5393f,27,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
fa5b7c38-726c-4cb7-a809-af3459486662,9d45bdb6-4d9e-4912-a63a-6475a883b20f,a104e6e9-2948-4f83-8992-42c067232849,50b9f5b4-2be7-436a-97e6-e430300359de,40,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
491aa9ab-1762-4981-a75e-d74ac1df60de,d0fb53dc-1a72-4d7e-850a-5f9121585080,a104e6e9-2948-4f83-8992-42c067232849,8e400df5-2911-4730-8a64-6ea217656308,45,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
8894d020-8b23-461d-8b78-6c2b445e0d13,347067c6-cb0c-444a-b03a-601033abdbf0,a104e6e9-2948-4f83-8992-42c067232849,4a31e7c2-cc5f-4502-abe1-538640347f77,18,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
c4c2e95e-1f34-44d0-b44b-f2001f54c376,1695d635-d16a-4051-975b-f20b042e76cf,a5465e44-f174-47b3-81a8-01725f06be59,6813cbcc-961d-4661-8dd1-1bc47233d0c4,85,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
e4b36e79-a679-4313-babe-535d5113b3da,6047399e-9e69-4ec1-9211-14e80b1acb4c,a5465e44-f174-47b3-81a8-01725f06be59,879fd460-282b-45e8-b2e4-929ca51d07e3,22,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
98e0e343-5d93-466b-9678-18fa650c8dcb,71b0a0bd-9175-4045-bd7a-d0a99e3c05a1,a5465e44-f174-47b3-81a8-01725f06be59,feaf2d99-63c3-48d2-883b-e83c95e7dc4e,52,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
7ba7a138-604f-4840-8780-6a1f2c89b29b,c84dfe93-56b7-47b0-bfa5-b7042144499d,a5465e44-f174-47b3-81a8-01725f06be59,bb08b999-9496-45c3-89a0-7ff7f008ab08,8,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
02f26652-95af-465c-b7d8-0b99bb0ebb69,f7672329-a8c9-47c8-9a27-fd16e3757749,a5465e44-f174-47b3-81a8-01725f06be59,985c1283-546e-4350-a766-0a17cce18b8b,90,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
fd5d586e-a055-4524-8c62-19cc50c9d408,83a346fc-243c-469e-8330-761330c82b4d,a104e6e9-2948-4f83-8992-42c067232849,6233a5f0-6bfe-447b-976f-88fc7ef4c890,35,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
50d1c3d0-a2be-4a28-a3d7-dae53fa49e2d,2510386c-834b-4522-ad96-6b1d333eaabf,a5465e44-f174-47b3-81a8-01725f06be59,f6086514-5176-4872-8e9e-55330c90211f,32,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
7ab3d9ee-02c0-4dc1-ba29-746a83e0c426,8ce79e63-3c92-40d1-95ef-c2168931ec50,0d049737-fa74-4139-ac01-31a8bbf447e3,c8f1eac8-548f-4161-b667-54bc175b3c33,25,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
37c147ea-b976-47a7-835f-40df271b48b8,f0b118d6-1342-4c43-839e-f87155ee6404,0d049737-fa74-4139-ac01-31a8bbf447e3,ab83d4da-0238-4996-aa4f-1ec24e2b3663,20,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
ebad7d47-7e00-4a1a-820f-a1f8aecbce5f,218ac221-d79d-4377-bfaa-8b5209e1b9ba,0d049737-fa74-4139-ac01-31a8bbf447e3,6181f5cf-720e-4ff2-8b76-63f3eee5cff3,55,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
19553969-61c2-402d-a396-3f84e15db3f7,b57ea25e-3624-42a0-8bf9-d49ff1a58235,a5465e44-f174-47b3-81a8-01725f06be59,ee40ccd8-7804-4da3-a8e7-058e8d11b224,70,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
5bb7d2ac-5fe5-4487-b4a6-ad66ea5d100b,703298b0-3e3a-497d-8400-d9331851aa16,a5465e44-f174-47b3-81a8-01725f06be59,de9a309a-5607-4da7-a970-72cb26951ef6,48,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
9631c313-acd8-416b-bca4-c23d30f62875,04deb6c9-5c4f-4456-a207-bfacf997b4ba,a5465e44-f174-47b3-81a8-01725f06be59,18ed9aca-e3f8-42ae-bf3a-41f9c5790217,15,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
06d85c10-c323-4b7a-b5c7-127f89dbf20b,49ce1de5-64a6-4f6f-93fc-17ca3328f7bf,a104e6e9-2948-4f83-8992-42c067232849,f104f437-92c1-4989-bdfc-4e001b0c09be,60,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
7fec0fd3-f251-4727-89a2-c80c7ff96c8f,0658ec1b-9bdb-4723-93d5-dc9b985b0861,a104e6e9-2948-4f83-8992-42c067232849,4e2aef90-07ad-445a-828f-d3a6ba7a5de0,95,2026-09-12 22:24:01.80036+00,2026-09-12 22:24:01.80036+00
7962ee79-2971-4f6f-afa1-496e77d904c3,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,a104e6e9-2948-4f83-8992-42c067232849,43265ceb-1057-47ab-a9f8-a7ccef4f2e62,5,2026-09-14 17:37:25.407581+00,2026-09-14 17:37:25.407581+00
200a5c1c-7029-4ca8-9c59-1b4ae2ecb879,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,0d049737-fa74-4139-ac01-31a8bbf447e3,null,5,2026-09-14 17:51:32.336271+00,2026-09-14 17:51:32.336271+00
1e9baa37-e186-4a7c-be6c-02845de0103b,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,a5465e44-f174-47b3-81a8-01725f06be59,8d8bb484-2861-4b80-abba-125e6e23fa1e,160,2026-09-12 22:24:01.80036+00,2026-09-14 17:52:25.301793+00
9b26a3b8-cc12-440a-98f9-a3a8a4413c51,422de90c-e618-4332-9ef7-041b3701e4f9,a5465e44-f174-47b3-81a8-01725f06be59,null,0,2026-09-14 17:25:37.568552+00,2026-09-14 17:53:06.41002+00
aaeece6c-f70e-47a0-b573-832bf489ad9c,422de90c-e618-4332-9ef7-041b3701e4f9,0d049737-fa74-4139-ac01-31a8bbf447e3,null,15,2026-09-14 17:45:03.321401+00,2026-09-14 17:53:18.580189+00
