id,warehouse_id,code,created_at
6f84f368-73e9-4b3f-9244-bad5fd8f9b6f,a5465e44-f174-47b3-81a8-01725f06be59,RACK-01,2026-09-12 22:24:01.80036+00
273608c3-8754-42b2-98a5-d774d08d0547,a104e6e9-2948-4f83-8992-42c067232849,RACK-04,2026-09-12 22:24:01.80036+00
a322990c-6fad-4175-8398-5de9aab9f863,a104e6e9-2948-4f83-8992-42c067232849,RACK-01,2026-09-12 22:24:01.80036+00
184c0699-b4e8-4842-b317-bfa051245786,0d049737-fa74-4139-ac01-31a8bbf447e3,RACK-06,2026-09-12 22:24:01.80036+00
e46db4df-20e9-4c00-80b3-4e55ec95a9fc,a5465e44-f174-47b3-81a8-01725f06be59,RACK-05,2026-09-12 22:24:01.80036+00
886a4ff0-45c3-49d6-b7c7-7470d54f93e6,a5465e44-f174-47b3-81a8-01725f06be59,RACK-03,2026-09-12 22:24:01.80036+00
d0763962-43f1-453d-98a4-e120857520f8,0d049737-fa74-4139-ac01-31a8bbf447e3,RACK-02,2026-09-12 22:24:01.80036+00
f089630f-861c-4e9c-bdb1-2d2f3af88a7d,a104e6e9-2948-4f83-8992-42c067232849,RACK-02,2026-09-12 22:24:01.80036+00
ad1afda1-cc79-4304-93a2-a27c90649b72,a5465e44-f174-47b3-81a8-01725f06be59,RACK-06,2026-09-12 22:24:01.80036+00
c68661bc-e792-4339-a82b-a222ac7b7e83,a104e6e9-2948-4f83-8992-42c067232849,RACK-05,2026-09-14 17:37:24.680791+00
