id,item_id,order_id,from_position_id,to_position_id,movement_type,quantity,status,worker_id,created_at,executed_at
e110d76a-3f5e-408e-b047-684710c37c0c,1d40ad8e-3e73-4b40-812d-f7d773de83f1,b120cfb3-3dd5-456e-9639-49958459a5af,61ed20a5-6f92-4160-9973-c2f658f5393f,null,DISPATCH,6,REJECTED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-28 00:00:00+00,null
dcb36450-825a-492c-95bb-251906bed6c8,9d45bdb6-4d9e-4912-a63a-6475a883b20f,5c3d6fc0-c346-4936-87ac-e9fbceea1f04,50b9f5b4-2be7-436a-97e6-e430300359de,null,DISPATCH,9,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-30 00:00:00+00,null
e0eb1053-633a-4000-b0d0-8be3b4310aeb,d0fb53dc-1a72-4d7e-850a-5f9121585080,b3c29c5c-21fe-4f23-ad25-b0c232c11e76,8e400df5-2911-4730-8a64-6ea217656308,null,DISPATCH,8,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-07 00:00:00+00,null
0dd56464-300f-4379-92ce-a6f2d7eccbcb,347067c6-cb0c-444a-b03a-601033abdbf0,a959e391-c836-41b0-9daa-c447102f8cb1,4a31e7c2-cc5f-4502-abe1-538640347f77,null,DISPATCH,7,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-03 00:00:00+00,null
5bff41c0-f2d6-44b6-ae9d-41c367ebfc64,1695d635-d16a-4051-975b-f20b042e76cf,e1f6f9e6-4e54-4c2b-baac-45a45c3d4826,null,6813cbcc-961d-4661-8dd1-1bc47233d0c4,RECEPTION,50,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-08 00:00:00+00,null
2f57d290-ac68-4b4a-b720-bb33dfe65ebd,6047399e-9e69-4ec1-9211-14e80b1acb4c,34786fa4-6094-4812-b9d9-2e10d29f03f2,null,879fd460-282b-45e8-b2e4-929ca51d07e3,RECEPTION,18,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-29 00:00:00+00,null
0b1239b2-0b5b-4855-a328-f3264f202602,71b0a0bd-9175-4045-bd7a-d0a99e3c05a1,53d947a8-b1c4-48e5-8778-2f187bb002ff,null,feaf2d99-63c3-48d2-883b-e83c95e7dc4e,RECEPTION,20,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-02 00:00:00+00,null
8ec4814d-662d-4333-a98a-a2628da23f64,c84dfe93-56b7-47b0-bfa5-b7042144499d,0398a8bb-06df-4007-9b60-e1984a7a2f6e,null,bb08b999-9496-45c3-89a0-7ff7f008ab08,RECEPTION,25,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-27 00:00:00+00,null
d405081b-c7ce-46b4-9ab1-6fd05fff924e,f7672329-a8c9-47c8-9a27-fd16e3757749,a11f0dbe-7ae7-44d8-b58a-b305a22452fc,null,985c1283-546e-4350-a766-0a17cce18b8b,RECEPTION,60,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-05 00:00:00+00,null
1c30b65e-7dfa-40a8-b792-ffc29d814e49,83a346fc-243c-469e-8330-761330c82b4d,8ee9c308-2858-4488-8267-d7b131f74bb9,6233a5f0-6bfe-447b-976f-88fc7ef4c890,null,DISPATCH,10,REJECTED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-05 00:00:00+00,null
8ee9d3d2-1e04-482b-8804-166d7bb71312,2510386c-834b-4522-ad96-6b1d333eaabf,3d8cf9da-c009-4505-9c08-6dd6c5304225,null,f6086514-5176-4872-8e9e-55330c90211f,RECEPTION,25,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-03 00:00:00+00,null
a39df6dc-4f35-45b8-bba6-f3f8638b7e19,8ce79e63-3c92-40d1-95ef-c2168931ec50,ab3d0719-1956-4422-a291-a6c019ff36e0,c8f1eac8-548f-4161-b667-54bc175b3c33,null,DISPATCH,5,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-04 00:00:00+00,null
