id,order_id,item_id,quantity
bb7134ac-79f8-491f-895c-78f74bb34d0a,0398a8bb-06df-4007-9b60-e1984a7a2f6e,c84dfe93-56b7-47b0-bfa5-b7042144499d,25
3fc496b3-30d1-4289-ad5a-76113060bff9,34786fa4-6094-4812-b9d9-2e10d29f03f2,6047399e-9e69-4ec1-9211-14e80b1acb4c,18
3b7ac359-d038-4a83-9f56-3205d7889812,c11d1960-9f94-4377-b1c5-357a578fb522,04deb6c9-5c4f-4456-a207-bfacf997b4ba,35
3997b384-dbb0-48da-b5bc-8eb4aa0146c7,53d947a8-b1c4-48e5-8778-2f187bb002ff,71b0a0bd-9175-4045-bd7a-d0a99e3c05a1,20
a9a37b86-3b05-4f06-873a-fb06f0618372,3d8cf9da-c009-4505-9c08-6dd6c5304225,2510386c-834b-4522-ad96-6b1d333eaabf,25
a94c2cf6-903c-4023-b82f-2c4ee968a3e4,8a50e4bf-fb99-49aa-8ff9-81b8b8d4db2c,703298b0-3e3a-497d-8400-d9331851aa16,30
05e0eb74-52a2-44d9-907b-3c86367b18b4,a11f0dbe-7ae7-44d8-b58a-b305a22452fc,f7672329-a8c9-47c8-9a27-fd16e3757749,60
0b4bf453-cf94-4f59-8e0e-ae37a252f060,39af7f67-c612-4c46-9d1f-972958ad0717,b57ea25e-3624-42a0-8bf9-d49ff1a58235,40
df03bfc6-2f6b-4459-8f8c-c332c9be669f,e1f6f9e6-4e54-4c2b-baac-45a45c3d4826,1695d635-d16a-4051-975b-f20b042e76cf,50
531880fb-784f-4e8f-879b-f8edf693912f,5d4608d6-77e4-4bc2-9dff-35d2dd7ab403,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,30
c3259f6c-9f16-4847-8760-3ac80c036bda,e696df7d-8536-47ee-bb35-c90e49868cda,0658ec1b-9bdb-4723-93d5-dc9b985b0861,20
bfcc6410-8bf1-4478-862d-6f5979ec0e24,5c3d6fc0-c346-4936-87ac-e9fbceea1f04,9d45bdb6-4d9e-4912-a63a-6475a883b20f,9
967848da-d3e3-4ed1-8aaf-3bd654cd74d9,a959e391-c836-41b0-9daa-c447102f8cb1,347067c6-cb0c-444a-b03a-601033abdbf0,7
8ac085ac-b27c-4a61-af82-b1f23a3c96db,8ee9c308-2858-4488-8267-d7b131f74bb9,83a346fc-243c-469e-8330-761330c82b4d,10
8d7f00f2-3410-4e42-adeb-d3636b8a3958,b3c29c5c-21fe-4f23-ad25-b0c232c11e76,d0fb53dc-1a72-4d7e-850a-5f9121585080,8
1d38b0cb-3a82-454b-849b-ba7acedf43e6,f9f1bb43-f5b5-4504-bfc0-1eb2aedf7838,49ce1de5-64a6-4f6f-93fc-17ca3328f7bf,12
d9f9a880-c7ba-4219-895c-121f34c80de3,b120cfb3-3dd5-456e-9639-49958459a5af,1d40ad8e-3e73-4b40-812d-f7d773de83f1,6
a420dccf-7075-4458-a300-482b891a1bba,64058fad-4fcb-403b-9b7b-9f265b0edb38,f0b118d6-1342-4c43-839e-f87155ee6404,4
a873fcd8-b566-41e8-93e8-87de6cfe93f1,ab3d0719-1956-4422-a291-a6c019ff36e0,8ce79e63-3c92-40d1-95ef-c2168931ec50,5
5005d649-9a11-4733-9692-fad35d7c7571,0eac6af4-492b-4e28-a4dc-93180a147cfe,218ac221-d79d-4377-bfaa-8b5209e1b9ba,15
135149c6-c3a3-4d17-b847-2dd80e58e529,b909928b-4f8b-4a3d-bf06-1c42968b4263,422de90c-e618-4332-9ef7-041b3701e4f9,15
43122579-a9c4-47e9-b92a-39097287d89d,0e8095e1-e177-4530-823f-06104a9156e5,422de90c-e618-4332-9ef7-041b3701e4f9,5
31754204-8b1c-4ff6-b4f7-0b6124d1de4f,c88df9a3-2f86-4ad6-b240-2abbfa0664c1,422de90c-e618-4332-9ef7-041b3701e4f9,5
dadaf78a-0cd7-450e-a230-c7867ce6c1c0,182f9de3-f679-45da-a077-0a06befc5f4f,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,5
e76c8ea4-6002-4291-8b6b-49142126a0d2,2c637107-ce79-4a05-b117-7dc38f6b7395,422de90c-e618-4332-9ef7-041b3701e4f9,5
1203dfee-b873-4e35-89ee-85486f256898,11fc3edf-dc03-4a60-88bb-22fd9904cad6,422de90c-e618-4332-9ef7-041b3701e4f9,5
209f021b-efff-42ad-8392-fc7213b02aa2,9e90e9bb-c5a7-4c52-bea1-dbfe5ebaa115,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,5
8a24d1be-5495-4058-94e6-383169189145,d9c13faa-dac8-4393-afc0-99c5f1044797,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,15
a120e7cc-1b5b-4a62-894f-dac172e14390,ea19cb98-bf04-4cd1-87bd-5269f4085e37,422de90c-e618-4332-9ef7-041b3701e4f9,5
